cmy*c/cref;-3,44E-02;-3,26E-02;-3,46E-02;-3,59E-02;-3,52E-02;-3,75E-02;-3,07E-02;-3,62E-02;-3,22E-02;-4,46E-02;-5,27E-02;-1,26E-01;9,16E-01;1,81E-02;-3,41E-02;-3,24E-02;-3,45E-02;-3,56E-02;-3,44E-02;-3,69E-02;-3,03E-02;-3,59E-02;-3,12E-02;-4,47E-02;-5,56E-02;-1,31E-01;9,34E-01;1,09E-02;7,97E-01;7,97E-01;8,23E-01;7,97E-01;8,21E-01;8,20E-01;8,36E-01;8,35E-01;8,63E-01;8,77E-01;9,41E-01;8,72E-01;9,27E-01;7,52E-01;7,96E-01;7,98E-01;8,15E-01;8,05E-01;8,23E-01;8,23E-01;8,39E-01;8,39E-01;8,69E-01;8,89E-01;9,61E-01;9,08E-01;9,92E-01;8,71E-01;-9,39E-02;-1,23E-02;6,43E-01;-2,70E-01;-3,37E-01;-8,15E-02;4,01E-02;5,67E-01;3,77E-02;-3,32E-02;-3,03E-02;-2,69E-02;-1,95E-02;-1,95E-02;-7,10E-03;-6,15E-03;-9,98E-03;-9,96E-03;-6,26E-03;-6,93E-03;-7,24E-03;-5,31E-03;-5,50E-03;-3,69E-03;-3,72E-03;-2,83E-03;-2,42E-03;-4,79E-03;-3,90E-03;-3,04E-02;-2,65E-02;-1,88E-02;-1,91E-02;-6,64E-03;-5,78E-03;-9,72E-03;-9,75E-03;-6,08E-03;-6,78E-03;-7,12E-03;-5,22E-03;-5,47E-03;-3,66E-03;-3,72E-03;-2,82E-03;-2,41E-03;-4,86E-03;-3,95E-03;-3,56E-01;-5,26E-01;-4,23E-01;-4,36E-01;-3,55E-01;-3,38E-01;-3,38E-01;-3,16E-01;-2,73E-01;-2,56E-01;-2,36E-01;-2,13E-01;-1,90E-01;-1,63E-01;-1,40E-01;-1,09E-01;-8,61E-02;-9,81E-02;-6,50E-02;-3,66E-01;-5,49E-01;-4,31E-01;-4,45E-01;-3,63E-01;-3,44E-01;-3,44E-01;-3,22E-01;-2,78E-01;-2,60E-01;-2,39E-01;-2,16E-01;-1,92E-01;-1,65E-01;-1,42E-01;-1,10E-01;-8,74E-02;-9,96E-02;-6,63E-02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cmx*c/cref;-7,76E-02;-2,33E-01;-3,87E-01;-5,36E-01;-6,80E-01;-8,11E-01;-9,25E-01;-1,01E+00;-1,05E+00;-9,91E-01;-7,27E-01;-8,23E-01;-1,28E+00;-1,85E+00;7,75E-02;2,32E-01;3,86E-01;5,34E-01;6,76E-01;8,05E-01;9,17E-01;1,00E+00;1,03E+00;9,69E-01;6,90E-01;7,75E-01;1,20E+00;1,79E+00;-1,22E-01;-3,65E-01;-6,08E-01;-8,67E-01;-1,12E+00;-1,37E+00;-1,62E+00;-1,89E+00;-2,19E+00;-2,56E+00;-2,92E+00;-3,23E+00;-3,28E+00;-2,86E+00;1,22E-01;3,65E-01;6,08E-01;8,69E-01;1,12E+00;1,37E+00;1,63E+00;1,90E+00;2,20E+00;2,59E+00;2,97E+00;3,33E+00;3,46E+00;3,20E+00;1,05E+00;-1,60E+00;-2,88E+00;4,54E-01;5,80E-01;-9,44E-01;2,19E+00;3,35E+00;2,89E-01;-9,42E-02;-3,35E-01;-3,92E-01;-2,94E-01;-2,73E-01;-2,66E-01;-2,59E-01;-2,48E-01;-2,34E-01;-2,17E-01;-1,99E-01;-1,80E-01;-1,60E-01;-1,36E-01;-1,15E-01;-9,25E-02;-7,28E-02;-4,76E-02;7,50E-03;1,74E-02;3,39E-01;3,95E-01;2,95E-01;2,76E-01;2,68E-01;2,61E-01;2,51E-01;2,36E-01;2,19E-01;2,01E-01;1,82E-01;1,62E-01;1,37E-01;1,16E-01;9,34E-02;7,33E-02;4,78E-02;-7,65E-03;-1,77E-02;-1,87E+00;-2,09E+00;-7,75E-01;-6,29E-01;-6,31E-01;-5,95E-01;-5,46E-01;-5,00E-01;-4,65E-01;-4,22E-01;-3,81E-01;-3,43E-01;-3,00E-01;-2,58E-01;-2,11E-01;-1,54E-01;-4,34E-02;2,94E-01;2,62E-01;1,92E+00;2,15E+00;7,87E-01;6,42E-01;6,42E-01;6,06E-01;5,56E-01;5,08E-01;4,73E-01;4,29E-01;3,87E-01;3,48E-01;3,04E-01;2,62E-01;2,13E-01;1,56E-01;4,37E-02;-2,97E-01;-2,65E-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cz*c/cref;-1,07E+00;-1,07E+00;-1,07E+00;-1,06E+00;-1,04E+00;-1,02E+00;-9,83E-01;-9,32E-01;-8,51E-01;-7,30E-01;-4,58E-01;-4,95E-01;-6,77E-01;-8,97E-01;-1,07E+00;-1,07E+00;-1,06E+00;-1,05E+00;-1,04E+00;-1,01E+00;-9,74E-01;-9,21E-01;-8,41E-01;-7,15E-01;-4,33E-01;-4,67E-01;-6,33E-01;-8,68E-01;-6,77E-01;-6,76E-01;-6,76E-01;-6,88E-01;-6,90E-01;-6,91E-01;-6,94E-01;-7,00E-01;-7,17E-01;-7,50E-01;-7,76E-01;-7,83E-01;-7,37E-01;-5,90E-01;-6,76E-01;-6,77E-01;-6,76E-01;-6,90E-01;-6,92E-01;-6,93E-01;-6,96E-01;-7,03E-01;-7,20E-01;-7,57E-01;-7,89E-01;-8,07E-01;-7,77E-01;-6,61E-01;8,83E-01;-1,47E+00;-2,47E+00;3,75E-01;4,91E-01;8,40E-01;-1,58E+00;-2,57E+00;-2,00E-02;1,33E-01;-3,68E-02;-4,42E-02;-8,16E-03;-1,30E-03;-1,61E-03;-1,64E-03;-5,32E-04;1,29E-04;4,03E-04;6,10E-04;7,00E-04;8,34E-04;1,25E-03;1,64E-03;1,53E-03;1,50E-03;3,78E-03;1,77E-02;1,47E-02;-3,73E-02;-4,47E-02;-8,20E-03;-1,36E-03;-1,64E-03;-1,66E-03;-5,38E-04;1,29E-04;4,03E-04;6,10E-04;6,94E-04;8,23E-04;1,22E-03;1,61E-03;1,54E-03;1,59E-03;3,89E-03;1,79E-02;1,49E-02;-2,39E-01;-2,60E-01;-2,28E-02;-1,39E-03;8,66E-05;0,00E+00;-5,91E-05;8,19E-04;1,70E-03;1,63E-03;1,40E-03;1,28E-03;1,53E-03;2,07E-03;2,24E-03;3,76E-03;1,70E-02;8,17E-02;6,74E-02;-2,47E-01;-2,68E-01;-2,28E-02;-1,48E-03;8,66E-05;4,73E-05;-5,51E-05;8,19E-04;1,75E-03;1,69E-03;1,46E-03;1,35E-03;1,63E-03;2,06E-03;2,23E-03;3,87E-03;1,72E-02;8,27E-02;6,82E-02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cy*c/cref;0,00E+00;1,00E-05;4,00E-05;2,20E-04;5,30E-04;1,20E-03;2,02E-03;3,30E-03;4,14E-03;1,72E-02;-4,80E-02;1,37E-02;-6,35E-02;-1,40E-01;-1,00E-05;-3,00E-05;-7,00E-05;-2,80E-04;-6,40E-04;-1,37E-03;-2,15E-03;-3,28E-03;-4,67E-03;-1,88E-02;4,72E-02;-1,59E-02;6,19E-02;1,41E-01;0,00E+00;1,13E-04;-3,23E-05;-1,61E-04;-1,21E-05;6,05E-05;2,02E-05;-5,65E-05;4,40E-04;2,17E-03;2,09E-03;1,09E-02;1,78E-02;7,24E-03;0,00E+00;-7,26E-05;2,82E-05;1,13E-04;1,21E-05;-5,24E-05;-2,02E-05;5,65E-05;-4,07E-04;-2,20E-03;-2,15E-03;-1,21E-02;-1,94E-02;-7,72E-03;-2,79E-01;8,69E-01;1,03E+00;-1,60E-01;-2,77E-01;3,63E-01;8,36E-02;-2,80E-01;7,69E-01;2,51E-01;-1,87E-01;-2,26E-01;-2,38E-01;-2,49E-01;-2,55E-01;-2,64E-01;-2,72E-01;-2,76E-01;-2,76E-01;-2,75E-01;-2,71E-01;-2,65E-01;-2,51E-01;-2,41E-01;-2,22E-01;-2,04E-01;-1,82E-01;-1,57E-01;-1,12E-01;1,88E-01;2,27E-01;2,39E-01;2,51E-01;2,57E-01;2,66E-01;2,75E-01;2,79E-01;2,79E-01;2,78E-01;2,74E-01;2,68E-01;2,54E-01;2,43E-01;2,24E-01;2,05E-01;1,83E-01;1,59E-01;1,13E-01;-4,48E-01;-5,38E-01;-4,15E-01;-4,05E-01;-4,34E-01;-4,34E-01;-4,24E-01;-4,18E-01;-4,22E-01;-4,14E-01;-4,06E-01;-4,01E-01;-3,89E-01;-3,80E-01;-3,55E-01;-3,19E-01;-2,62E-01;-1,82E-01;-1,33E-01;4,58E-01;5,54E-01;4,22E-01;4,12E-01;4,42E-01;4,41E-01;4,31E-01;4,25E-01;4,28E-01;4,20E-01;4,12E-01;4,06E-01;3,95E-01;3,85E-01;3,60E-01;3,23E-01;2,65E-01;1,85E-01;1,36E-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cx*c/cref;1,99E-03;-9,60E-04;-4,50E-04;-3,26E-03;-3,73E-03;-1,60E-04;-3,30E-03;2,65E-03;-5,54E-03;-4,32E-03;-3,57E-02;-3,08E-02;-1,47E+00;2,86E-02;1,87E-03;-9,20E-04;-3,90E-04;-2,76E-03;-3,85E-03;-1,00E-05;-3,17E-03;2,95E-03;-5,06E-03;-4,33E-03;-3,64E-02;-3,27E-02;-1,52E+00;2,60E-02;1,96E-01;1,95E-01;1,78E-01;2,06E-01;1,93E-01;1,94E-01;1,87E-01;1,94E-01;1,94E-01;2,18E-01;1,96E-01;2,56E-01;1,39E-01;1,19E-01;1,96E-01;1,95E-01;1,82E-01;2,04E-01;1,93E-01;1,94E-01;1,87E-01;1,95E-01;1,94E-01;2,19E-01;1,98E-01;2,62E-01;1,43E-01;1,29E-01;-3,99E-03;1,07E+00;-2,17E-02;1,86E-02;1,28E-01;-3,77E-03;1,02E+00;2,35E-01;-6,97E-02;-1,89E-02;2,78E-02;2,68E-02;1,75E-02;1,80E-02;7,07E-03;6,57E-03;1,11E-02;1,17E-02;7,88E-03;9,38E-03;1,07E-02;8,53E-03;9,67E-03;7,06E-03;8,18E-03;7,59E-03;7,54E-03;1,20E-02;1,05E-02;2,79E-02;2,65E-02;1,69E-02;1,76E-02;6,62E-03;6,19E-03;1,08E-02;1,15E-02;7,64E-03;9,18E-03;1,05E-02;8,37E-03;9,60E-03;7,02E-03;8,16E-03;7,45E-03;7,43E-03;1,21E-02;1,06E-02;3,15E-01;4,31E-01;2,72E-01;2,84E-01;2,44E-01;2,46E-01;2,62E-01;2,62E-01;2,42E-01;2,45E-01;2,46E-01;2,43E-01;2,39E-01;2,29E-01;2,22E-01;1,96E-01;1,58E-01;9,08E-02;5,14E-02;3,25E-01;4,49E-01;2,77E-01;2,90E-01;2,49E-01;2,51E-01;2,67E-01;2,67E-01;2,46E-01;2,49E-01;2,50E-01;2,47E-01;2,43E-01;2,33E-01;2,25E-01;1,99E-01;1,60E-01;9,30E-02;5,38E-02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cs*c/cref;0,00E+00;1,00E-05;4,00E-05;2,20E-04;5,30E-04;1,20E-03;2,02E-03;3,30E-03;4,14E-03;1,72E-02;-4,80E-02;1,37E-02;-6,35E-02;-1,40E-01;-1,00E-05;-3,00E-05;-7,00E-05;-2,80E-04;-6,40E-04;-1,37E-03;-2,15E-03;-3,28E-03;-4,67E-03;-1,88E-02;4,72E-02;-1,59E-02;6,19E-02;1,41E-01;0,00E+00;1,13E-04;-3,23E-05;-1,61E-04;-1,21E-05;6,05E-05;2,02E-05;-5,65E-05;4,40E-04;2,17E-03;2,09E-03;1,09E-02;1,78E-02;7,24E-03;0,00E+00;-7,26E-05;2,82E-05;1,13E-04;1,21E-05;-5,24E-05;-2,02E-05;5,65E-05;-4,07E-04;-2,20E-03;-2,15E-03;-1,21E-02;-1,94E-02;-7,72E-03;-2,79E-01;8,69E-01;1,03E+00;-1,60E-01;-2,77E-01;3,63E-01;8,36E-02;-2,80E-01;7,69E-01;2,51E-01;-1,87E-01;-2,26E-01;-2,38E-01;-2,49E-01;-2,55E-01;-2,64E-01;-2,72E-01;-2,76E-01;-2,76E-01;-2,75E-01;-2,71E-01;-2,65E-01;-2,51E-01;-2,41E-01;-2,22E-01;-2,04E-01;-1,82E-01;-1,57E-01;-1,12E-01;1,88E-01;2,27E-01;2,39E-01;2,51E-01;2,57E-01;2,66E-01;2,75E-01;2,79E-01;2,79E-01;2,78E-01;2,74E-01;2,68E-01;2,54E-01;2,43E-01;2,24E-01;2,05E-01;1,83E-01;1,59E-01;1,13E-01;-4,48E-01;-5,38E-01;-4,15E-01;-4,05E-01;-4,34E-01;-4,34E-01;-4,24E-01;-4,18E-01;-4,22E-01;-4,14E-01;-4,06E-01;-4,01E-01;-3,89E-01;-3,80E-01;-3,55E-01;-3,19E-01;-2,62E-01;-1,82E-01;-1,33E-01;4,58E-01;5,54E-01;4,22E-01;4,12E-01;4,42E-01;4,41E-01;4,31E-01;4,25E-01;4,28E-01;4,20E-01;4,12E-01;4,06E-01;3,95E-01;3,85E-01;3,60E-01;3,23E-01;2,65E-01;1,85E-01;1,36E-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cd*c/cref;1,99E-03;-9,60E-04;-4,50E-04;-3,26E-03;-3,73E-03;-1,60E-04;-3,30E-03;2,65E-03;-5,54E-03;-4,32E-03;-3,57E-02;-3,08E-02;-1,47E+00;2,86E-02;1,87E-03;-9,20E-04;-3,90E-04;-2,76E-03;-3,85E-03;-1,00E-05;-3,17E-03;2,95E-03;-5,06E-03;-4,33E-03;-3,64E-02;-3,27E-02;-1,52E+00;2,60E-02;1,96E-01;1,95E-01;1,78E-01;2,06E-01;1,93E-01;1,94E-01;1,87E-01;1,94E-01;1,94E-01;2,18E-01;1,96E-01;2,56E-01;1,39E-01;1,19E-01;1,96E-01;1,95E-01;1,82E-01;2,04E-01;1,93E-01;1,94E-01;1,87E-01;1,95E-01;1,94E-01;2,19E-01;1,98E-01;2,62E-01;1,43E-01;1,29E-01;-3,99E-03;1,07E+00;-2,17E-02;1,86E-02;1,28E-01;-3,77E-03;1,02E+00;2,35E-01;-6,97E-02;-1,89E-02;2,78E-02;2,68E-02;1,75E-02;1,80E-02;7,07E-03;6,57E-03;1,11E-02;1,17E-02;7,88E-03;9,38E-03;1,07E-02;8,53E-03;9,67E-03;7,06E-03;8,18E-03;7,59E-03;7,54E-03;1,20E-02;1,05E-02;2,79E-02;2,65E-02;1,69E-02;1,76E-02;6,62E-03;6,19E-03;1,08E-02;1,15E-02;7,64E-03;9,18E-03;1,05E-02;8,37E-03;9,60E-03;7,02E-03;8,16E-03;7,45E-03;7,43E-03;1,21E-02;1,06E-02;3,15E-01;4,31E-01;2,72E-01;2,84E-01;2,44E-01;2,46E-01;2,62E-01;2,62E-01;2,42E-01;2,45E-01;2,46E-01;2,43E-01;2,39E-01;2,29E-01;2,22E-01;1,96E-01;1,58E-01;9,08E-02;5,14E-02;3,25E-01;4,49E-01;2,77E-01;2,90E-01;2,49E-01;2,51E-01;2,67E-01;2,67E-01;2,46E-01;2,49E-01;2,50E-01;2,47E-01;2,43E-01;2,33E-01;2,25E-01;1,99E-01;1,60E-01;9,30E-02;5,38E-02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cmz;-1,40E-04;2,20E-04;1,80E-04;1,72E-03;2,59E-03;5,10E-04;3,80E-03;-1,68E-03;8,41E-03;8,15E-03;3,84E-02;6,64E-02;2,64E+00;-1,17E-01;1,30E-04;-2,10E-04;-1,70E-04;-1,48E-03;-2,70E-03;-4,50E-04;-3,72E-03;2,07E-03;-8,05E-03;-8,91E-03;-3,98E-02;-7,04E-02;-2,73E+00;1,12E-01;-8,73E-02;-2,60E-01;-3,97E-01;-6,43E-01;-7,73E-01;-9,51E-01;-1,09E+00;-1,30E+00;-1,47E+00;-1,84E+00;-1,82E+00;-2,59E+00;-1,46E+00;-1,41E+00;8,72E-02;2,61E-01;4,06E-01;6,37E-01;7,73E-01;9,52E-01;1,09E+00;1,30E+00;1,47E+00;1,85E+00;1,84E+00;2,64E+00;1,50E+00;1,52E+00;4,41E-03;-6,60E-01;2,12E-01;-2,40E-01;-3,72E-01;3,07E-02;9,41E-01;2,89E-01;4,05E-01;2,22E-01;-1,12E-01;-7,24E-02;-6,60E-04;1,52E-02;7,80E-02;8,66E-02;6,96E-02;6,84E-02;8,56E-02;7,67E-02;6,79E-02;7,33E-02;6,45E-02;6,85E-02;5,71E-02;4,76E-02;3,37E-02;-9,67E-03;-2,15E-02;1,12E-01;6,94E-02;-4,57E-03;-1,93E-02;-8,23E-02;-9,06E-02;-7,32E-02;-7,18E-02;-8,88E-02;-7,98E-02;-7,08E-02;-7,61E-02;-6,66E-02;-7,03E-02;-5,87E-02;-4,98E-02;-3,55E-02;9,65E-03;2,16E-02;-4,40E+00;-5,77E+00;-3,50E+00;-3,55E+00;-3,15E+00;-3,17E+00;-3,33E+00;-3,32E+00;-3,12E+00;-3,14E+00;-3,14E+00;-3,11E+00;-3,04E+00;-2,92E+00;-2,79E+00;-2,45E+00;-1,95E+00;-1,15E+00;-6,76E-01;4,53E+00;6,00E+00;3,57E+00;3,63E+00;3,22E+00;3,24E+00;3,39E+00;3,38E+00;3,17E+00;3,19E+00;3,18E+00;3,15E+00;3,09E+00;2,96E+00;2,84E+00;2,48E+00;1,98E+00;1,17E+00;7,08E-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cmy;-3,44E-02;-3,26E-02;-3,46E-02;-3,59E-02;-3,52E-02;-3,75E-02;-3,07E-02;-3,62E-02;-3,22E-02;-4,46E-02;-5,27E-02;-1,26E-01;9,16E-01;1,81E-02;-3,41E-02;-3,24E-02;-3,45E-02;-3,56E-02;-3,44E-02;-3,69E-02;-3,03E-02;-3,59E-02;-3,12E-02;-4,47E-02;-5,56E-02;-1,31E-01;9,34E-01;1,09E-02;1,98E+00;1,98E+00;2,04E+00;1,98E+00;2,03E+00;2,03E+00;2,07E+00;2,07E+00;2,14E+00;2,17E+00;2,33E+00;2,16E+00;2,30E+00;1,86E+00;1,97E+00;1,98E+00;2,02E+00;2,00E+00;2,04E+00;2,04E+00;2,08E+00;2,08E+00;2,15E+00;2,21E+00;2,38E+00;2,25E+00;2,46E+00;2,16E+00;-6,26E-02;-8,18E-03;4,29E-01;-1,80E-01;-2,25E-01;-5,44E-02;2,67E-02;3,78E-01;2,51E-02;-2,22E-02;-5,41E-02;-4,81E-02;-3,48E-02;-3,49E-02;-1,27E-02;-1,10E-02;-1,78E-02;-1,78E-02;-1,12E-02;-1,24E-02;-1,29E-02;-9,49E-03;-9,83E-03;-6,59E-03;-6,65E-03;-5,05E-03;-4,32E-03;-8,56E-03;-6,97E-03;-5,43E-02;-4,74E-02;-3,35E-02;-3,40E-02;-1,18E-02;-1,03E-02;-1,74E-02;-1,74E-02;-1,09E-02;-1,21E-02;-1,27E-02;-9,32E-03;-9,76E-03;-6,54E-03;-6,64E-03;-5,03E-03;-4,31E-03;-8,67E-03;-7,06E-03;-9,03E-01;-1,34E+00;-1,07E+00;-1,11E+00;-9,02E-01;-8,57E-01;-8,57E-01;-8,02E-01;-6,93E-01;-6,50E-01;-5,99E-01;-5,41E-01;-4,82E-01;-4,14E-01;-3,55E-01;-2,77E-01;-2,19E-01;-2,49E-01;-1,65E-01;-9,30E-01;-1,39E+00;-1,10E+00;-1,13E+00;-9,21E-01;-8,74E-01;-8,74E-01;-8,18E-01;-7,05E-01;-6,60E-01;-6,08E-01;-5,49E-01;-4,89E-01;-4,20E-01;-3,60E-01;-2,80E-01;-2,22E-01;-2,53E-01;-1,68E-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FC_Roll__Rate;0,00E+00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
